"memory_percentage","posner_percentage","saxe_percentage","spunt_percentage","rotation_percentage","subject"
95.5555555555556,95.2941176470588,NA,NA,65.2777777777778,"3"
93.8775510204082,NA,70,NA,92.7536231884058,"4"
68.4210526315789,NA,NA,NA,61.1940298507463,"5"
83.75,99.1666666666667,NA,NA,75.7142857142857,"11"
93.3333333333333,NA,70,NA,84.8484848484848,"13"
100,NA,NA,89.84375,93.0555555555556,"16"
92.5,100,NA,NA,87.3239436619718,"18"
86.0759493670886,NA,NA,92.156862745098,77.4647887323944,"20"
77.5,NA,75,NA,82.9268292682927,"21"
93.6708860759494,NA,NA,95.6862745098039,91.044776119403,"25"
96.2025316455696,100,NA,NA,87.3015873015873,"26"
87.5,NA,65,NA,71.4285714285714,"29"
97.5,100,NA,NA,78.2608695652174,"31"
84.8101265822785,NA,NA,99.21875,89.8550724637681,"33"
92.4050632911392,NA,95,NA,97.1830985915493,"36"
87.5,99.1666666666667,NA,NA,87.3015873015873,"39"
95,NA,85,NA,91.5492957746479,"40"
95,NA,NA,96.8627450980392,90.625,"41"
94.9367088607595,NA,95,NA,70.7692307692308,"44"
97.5,NA,NA,97.65625,89.8550724637681,"52"
88.75,NA,NA,92.1875,60.5633802816901,"56"
63.2911392405063,NA,78.9473684210526,NA,60.2941176470588,"57"
95,100,NA,NA,74.2424242424242,"58"
90.6666666666667,NA,NA,94.1176470588235,95.1612903225806,"61"
78.4810126582279,98.3333333333333,NA,NA,91.4285714285714,"62"
95,NA,80,NA,84.0579710144928,"65"
100,NA,NA,94.53125,95.8333333333333,"69"
88.4615384615385,100,NA,NA,77.7777777777778,"75"
89.7435897435897,NA,85,NA,92.6470588235294,"76"
96.2025316455696,NA,NA,NA,60.8695652173913,"94"
NA,NA,93.75,93.0735930735931,78.0487804878049,"2"
NA,NA,90,93.75,89.3939393939394,"8"
NA,100,NA,96.0629921259843,89.2857142857143,"14"
NA,NA,95,96.4566929133858,96.8253968253968,"17"
NA,100,NA,93.359375,64.1791044776119,"19"
NA,NA,89.4736842105263,94.0711462450593,74.5454545454545,"24"
NA,NA,73.6842105263158,87.6146788990826,79.6610169491525,"32"
NA,99.1666666666667,NA,97.2549019607843,85.7142857142857,"35"
NA,NA,80,93.359375,89.5522388059701,"37"
NA,100,NA,92.1875,88.7323943661972,"46"
NA,100,NA,92.578125,83.5820895522388,"50"
NA,NA,90,95.6862745098039,81.4285714285714,"53"
NA,NA,85,88.671875,85.0746268656716,"60"
NA,NA,90,94.488188976378,58.5714285714286,"64"
NA,NA,85,94.488188976378,96.9230769230769,"73"
NA,100,NA,93.359375,70,"78"
NA,99.1666666666667,100,NA,78.8732394366197,"7"
NA,100,100,NA,91.6666666666667,"9"
NA,99.1666666666667,85,NA,80.2816901408451,"23"
NA,100,85,NA,84.2857142857143,"34"
NA,100,100,NA,89.8550724637681,"38"
NA,99.1666666666667,85,NA,86.7647058823529,"51"
NA,99.1666666666667,78.9473684210526,NA,94.0298507462687,"59"
NA,100,83.3333333333333,NA,80.327868852459,"66"
NA,100,90,NA,85.7142857142857,"70"
NA,100,73.6842105263158,NA,88.4615384615385,"74"
NA,99.1666666666667,90,NA,92.9577464788732,"79"
NA,100,NA,NA,97.0588235294118,"10"
NA,99.1666666666667,NA,NA,71.830985915493,"43"
NA,99.1596638655462,NA,NA,86.5671641791045,"55"
NA,NA,NA,NA,83.0769230769231,"6"
NA,NA,NA,NA,54.5454545454545,"15"
NA,NA,NA,NA,86.9565217391304,"28"
NA,NA,NA,NA,72.7272727272727,"30"
NA,NA,NA,NA,73.9130434782609,"47"
NA,NA,NA,NA,95.8333333333333,"68"
NA,NA,NA,NA,70,"71"
NA,NA,NA,NA,72.5806451612903,"77"
NA,NA,NA,NA,86.9565217391304,"80"
NA,NA,NA,NA,86.5671641791045,"81"
NA,NA,NA,NA,70,"82"
NA,NA,NA,NA,82.3529411764706,"83"
NA,NA,NA,NA,97.0149253731343,"84"
NA,NA,NA,NA,85,"85"
NA,NA,NA,NA,87.5,"86"
NA,NA,NA,NA,90.9090909090909,"87"
NA,NA,NA,NA,61.9047619047619,"89"
NA,NA,NA,NA,55.5555555555556,"90"
NA,NA,NA,NA,71.7948717948718,"91"
NA,NA,NA,NA,81.8181818181818,"92"
NA,NA,NA,NA,78.2608695652174,"95"
NA,NA,NA,NA,100,"98"
